Attribute,Description,Valid Values,DependsOn,Required,Properties,Parent,DependsOn Component,Source,Validation Rules,Nonpreferred Terms,Ontology Identifier,Ontology Url,NCIt Code,Notes
Dartmouth College,,,,FALSE,,Institution Name,,ROR,,,ROR:049s0rh22,https://ror.org/049s0rh22,,
Duke University,,,,FALSE,,Institution Name,,ROR,,,ROR:00py81415,https://ror.org/00py81415,,
Emory University,,,,FALSE,,Institution Name,,ROR,,,ROR:03czfpz43,https://ror.org/03czfpz43,,
Georgia Institute of Technology,,,,FALSE,,Institution Name,,ROR,,,ROR:01zkghx44,https://ror.org/01zkghx44,,
Harvard Medical School,,,,FALSE,,Institution Name,,ROR,,,ROR:03vek6s52,https://ror.org/03vek6s52,,manual: no separate ROR entry for the medical school; mapped to parent institution (score n/a)
Harvard University,,,,FALSE,,Institution Name,,ROR,,,ROR:03vek6s52,https://ror.org/03vek6s52,,
Hebrew University of Jerusalem,,,,FALSE,,Institution Name,,ROR,,,ROR:03qxff017,https://ror.org/03qxff017,,
Houston Methodist,,,,FALSE,,Institution Name,,ROR,,,ROR:027zt9171,https://ror.org/027zt9171,,
Indiana University,,,,FALSE,,Institution Name,,ROR,,,ROR:01kg8sb98,https://ror.org/01kg8sb98,,
Indiana University - Purdue University Indianapolis,,,,FALSE,,Institution Name,,,,,,,,"SKIP: IUPUI was split/renamed in 2024 (into IU Indianapolis + separate Purdue programs) - no confident single ROR match found, see mapping_suggestions.csv"
Institute for Systems Biology,,,,FALSE,,Institution Name,,ROR,,,ROR:02tpgw303,https://ror.org/02tpgw303,,manual: affiliation-match top hit was a same-named Russian institute's alias; verified via exact-phrase query (score n/a)
Jackson Laboratory,,,,FALSE,,Institution Name,,ROR,,,ROR:021sy4w91,https://ror.org/021sy4w91,,
Johns Hopkins University,,,,FALSE,,Institution Name,,ROR,,,ROR:00za53h95,https://ror.org/00za53h95,,
Lurie Children's Hospital,,,,FALSE,,Institution Name,,ROR,,,ROR:03a6zw892,https://ror.org/03a6zw892,,
Massachusetts General Hospital,,,,FALSE,,Institution Name,,ROR,,,ROR:002pd6e78,https://ror.org/002pd6e78,,
Massachusetts Institute of Technology,,,,FALSE,,Institution Name,,ROR,,,ROR:042nb2s44,https://ror.org/042nb2s44,,
Mayo Clinic,,,,FALSE,,Institution Name,,ROR,,,ROR:02qp3tb03,https://ror.org/02qp3tb03,,
Memorial Sloan Kettering Cancer Center,,,,FALSE,,Institution Name,,ROR,,,ROR:02yrq0923,https://ror.org/02yrq0923,,
Moffitt Cancer Center,,,,FALSE,,Institution Name,,ROR,,,ROR:01xf75524,https://ror.org/01xf75524,,
Northeastern University,,,,FALSE,,Institution Name,,ROR,,,ROR:04t5xt781,https://ror.org/04t5xt781,,"manual: exact-phrase query disambiguated from a same-named Shenyang, China entry and a Mexican university's translated alias (score n/a)"
New York University,,,,FALSE,,Institution Name,,ROR,,,ROR:0190ak572,https://ror.org/0190ak572,,
Northwestern University,,,,FALSE,,Institution Name,,ROR,,,ROR:000e0be47,https://ror.org/000e0be47,,
Oregon Health & Science University,,,,FALSE,,Institution Name,,ROR,,,ROR:009avj582,https://ror.org/009avj582,,
Pacific Northwest National Laboratory,,,,FALSE,,Institution Name,,ROR,,,ROR:05h992307,https://ror.org/05h992307,,
Purdue University,,,,FALSE,,Institution Name,,ROR,,,ROR:02dqehb95,https://ror.org/02dqehb95,,manual: main-campus ROR entry; 'Purdue University' alone isn't in ROR (score n/a)
Rockefeller University,,,,FALSE,,Institution Name,,ROR,,,ROR:0420db125,https://ror.org/0420db125,,
Sage Bionetworks,,,,FALSE,,Institution Name,,ROR,,,ROR:049ncjx51,https://ror.org/049ncjx51,,
Salk Institute for Biological Studies,,,,FALSE,,Institution Name,,ROR,,,ROR:03xez1567,https://ror.org/03xez1567,,
St. Jude Children's Research Hospital,,,,FALSE,,Institution Name,,ROR,,St. Jude Children's Hospital,ROR:02r3e0967,https://ror.org/02r3e0967,,
Stanford University,,,,FALSE,,Institution Name,,ROR,,,ROR:00f54p054,https://ror.org/00f54p054,,
Stony Brook University,,,,FALSE,,Institution Name,,ROR,,,ROR:05qghxh33,https://ror.org/05qghxh33,,
The University of Texas Health Science Center at San Antonio,,,,FALSE,,Institution Name,,ROR,,,ROR:02f6dcw23,https://ror.org/02f6dcw23,,
Tufts University Medford,,,,FALSE,,Institution Name,,ROR,,,ROR:05wvpxv85,https://ror.org/05wvpxv85,,
University of Alabama at Birmingham,,,,FALSE,,Institution Name,,ROR,,,ROR:008s83205,https://ror.org/008s83205,,
University of Arizona,,,,FALSE,,Institution Name,,ROR,,,ROR:03m2x1q45,https://ror.org/03m2x1q45,,
University of Arkansas at Fayetteville,,,,FALSE,,Institution Name,,ROR,,,ROR:05jbt9m15,https://ror.org/05jbt9m15,,
University of California; Berkeley,,,,FALSE,,Institution Name,,ROR,,,ROR:01an7q238,https://ror.org/01an7q238,,
University of California; Irvine,,,,FALSE,,Institution Name,,ROR,,,ROR:04gyf1771,https://ror.org/04gyf1771,,
University of California; Los Angeles,,,,FALSE,,Institution Name,,ROR,,,ROR:046rm7j60,https://ror.org/046rm7j60,,
University of California; San Diego,,,,FALSE,,Institution Name,,ROR,,,ROR:0168r3w48,https://ror.org/0168r3w48,,
University of California; San Francisco,,,,FALSE,,Institution Name,,ROR,,,ROR:043mz5j54,https://ror.org/043mz5j54,,
University of Chicago,,,,FALSE,,Institution Name,,ROR,,,ROR:024mw5h28,https://ror.org/024mw5h28,,
University of Chicago Medical Center,,,,FALSE,,Institution Name,,ROR,,,ROR:0076kfe04,https://ror.org/0076kfe04,,
University of Colorado Denver,,,,FALSE,,Institution Name,,ROR,,,ROR:02hh7en24,https://ror.org/02hh7en24,,
University of Delaware,,,,FALSE,,Institution Name,,ROR,,,ROR:01sbq1a82,https://ror.org/01sbq1a82,,
University of Florida,,,,FALSE,,Institution Name,,ROR,,,ROR:02y3ad647,https://ror.org/02y3ad647,,
University of Illinois,,,,FALSE,,Institution Name,,ROR,,,ROR:047426m28,https://ror.org/047426m28,,
University of Illinois at Chicago,,,,FALSE,,Institution Name,,ROR,,,ROR:02mpq6x41,https://ror.org/02mpq6x41,,
University of Massachusetts Medical School,,,,FALSE,,Institution Name,,ROR,,,ROR:0464eyp60,https://ror.org/0464eyp60,,
University of Miami,,,,FALSE,,Institution Name,,ROR,,,ROR:02dgjyy92,https://ror.org/02dgjyy92,,
University of Michigan,,,,FALSE,,Institution Name,,ROR,,,ROR:00jmfr291,https://ror.org/00jmfr291,,
University of Nevada Reno,,,,FALSE,,Institution Name,,ROR,,,ROR:01keh0577,https://ror.org/01keh0577,,
University of Minnesota,,,,FALSE,,Institution Name,,ROR,,,ROR:017zqws13,https://ror.org/017zqws13,,
University of New South Wales,,,,FALSE,,Institution Name,,ROR,,,ROR:03r8z3t63,https://ror.org/03r8z3t63,,
University of North Carolina at Chapel Hill,,,,FALSE,,Institution Name,,ROR,,,ROR:0130frc33,https://ror.org/0130frc33,,
University of Pennsylvania,,,,FALSE,,Institution Name,,ROR,,,ROR:00b30xv10,https://ror.org/00b30xv10,,
University of Pittsburgh,,,,FALSE,,Institution Name,,ROR,,,ROR:01an3r305,https://ror.org/01an3r305,,
University of Southern California,,,,FALSE,,Institution Name,,ROR,,,ROR:03taz7m60,https://ror.org/03taz7m60,,
University of Texas MD Anderson Cancer Center,,,,FALSE,,Institution Name,,ROR,,,ROR:04twxam07,https://ror.org/04twxam07,,manual: affiliation-match endpoint scored unrelated cancer centers higher; verified via exact-phrase query (score n/a)
University of Texas Southwestern Medical Center,,,,FALSE,,Institution Name,,ROR,,,ROR:05byvp690,https://ror.org/05byvp690,,manual: verified via exact-phrase query (score n/a)
University of Texas at Austin,,,,FALSE,,Institution Name,,ROR,,,ROR:00hj54h04,https://ror.org/00hj54h04,,
University of Utah,,,,FALSE,,Institution Name,,ROR,,,ROR:03r0ha626,https://ror.org/03r0ha626,,
University of Virginia,,,,FALSE,,Institution Name,,ROR,,,ROR:0153tk833,https://ror.org/0153tk833,,
University of Washington,,,,FALSE,,Institution Name,,ROR,,,ROR:00cvxb145,https://ror.org/00cvxb145,,
University of Wisconsin-Madison,,,,FALSE,,Institution Name,,ROR,,,ROR:01y2jtd41,https://ror.org/01y2jtd41,,
Vanderbilt University,,,,FALSE,,Institution Name,,ROR,,,ROR:02vm5rt34,https://ror.org/02vm5rt34,,
Virginia Polytechnic Institute,,,,FALSE,,Institution Name,,ROR,,,ROR:02smfhw86,https://ror.org/02smfhw86,,manual: verified via full legal name query (score n/a)
Washington University in St. Louis,,,,FALSE,,Institution Name,,ROR,,,ROR:01yc7t268,https://ror.org/01yc7t268,,
Wake Forest,,,,FALSE,,Institution Name,,ROR,,,ROR:0207ad724,https://ror.org/0207ad724,,manual: verified via full name query (score n/a)
Weill Cornell Medicine,,,,FALSE,,Institution Name,,ROR,,,ROR:02r109517,https://ror.org/02r109517,,
Wistar Institute,,,,FALSE,,Institution Name,,ROR,,,ROR:04wncat98,https://ror.org/04wncat98,,
Yale University,,,,FALSE,,Institution Name,,ROR,,,ROR:03v76x132,https://ror.org/03v76x132,,
