CDE Public ID,Version,CRDC Name,CRDC Domain,VD Type,Example,Subset Level,Coding Instruction,Instructions,CRDC Definition,CDE Long Name,Registration Status,Workflow Status,Owned By,Used By
11325685,2,Tumor Grade,Diagnosis,Enumerated,,,,,A text term to express the degree of abnormality of cancer cells as a measure of differentiation and aggressiveness.,Subject Tumor Grade,Standard,RELEASED,CRDC,"CIP,GDC,Pediatric Cancer"
11326261,1,ICD-O-3 Morphology Code,"Diagnosis,Specimen",Enumerated,8000/0,,,"1. Go to http://apps.who.int/classifications/apps/icd/ClassificationDownload/DLArea/Download.aspx 2. Create and activate account. 3. Go back to URL in step 1, log in, and click on the ICD-O-3 link in the left hand column, which downloads the ""ICD-O-3_CSV-metadata.zip"" file. 4. Unzip the file, use the text file named “Morphenglish.txt"" for the ICD-O-3 codes.",The coded result of analyzing the microscopic anatomy of normal and abnormal cells and tissues of the specimen by examining a thin slice (section) under a light (optical) or electron microscope. The code represents the histology of the disease using the third edition of the International Classification of Diseases for Oncology.,Specimen Tumor Tissue ICD-O-3 Morphology Code,Standard,RELEASED,CRDC,"GDC,NCIP,Pediatric Cancer"
11387114,2,Data File Compression Status,File,Enumerated,,,,,The state of data when saved to storage space or during data transmission.,Data File Compression Status,Qualified,RELEASED,NCI Standards,CRDC
11416926,2,Data File Format,File,Enumerated,(Genomics) BAM; CRAM;CRAI; FastQ (Imaging) DICOM; Tiff; OME-Tiff; JPEG; NIFTI,,"if multiple file types exist, please separate with semicolons",,A defined organization or layout representing and structuring data in a computer file.,Data File Format Type,Qualified,RELEASED,NCI Standards,"CRDC,GDC,Pediatric Cancer"
11459804,4,Project Name,Administrative,Non-enumerated,,,,,"The narrative title used to refer to an organ-, site-, disease- or phase-specific data collection within a broad framework of goals under which related studies or other research activities are grouped.",Study Administration Project Name Text,Standard,RELEASED,CRDC,CIP
11459806,4,Project Short Name,Administrative,Non-enumerated,,,"This property is used as the key via which child records, e.g. study/trial, image collection and principal investigator records, can be associated with the appropriate project during data loading, and to identify the correct records during data updates.",,"An acronym or abbreviated form of the title used to refer to an organ-, site- or disease-specific data collection within a broad framework of goals under which related studies or other research activities are grouped.",Study Administration Project Short Name Text,Standard,RELEASED,CRDC,CIP
11459810,4,Study Name,Administrative,Non-enumerated,University of Texas PDX Development and Trial Center Grant,,,,The narrative title used as a textual label for a research data collection. Example – Comparative Molecular Life History of Spontaneous Canine and Human Gliomas,Study Administration Study Name Text,Standard,RELEASED,CRDC,Pediatric Cancer
11459812,4,Study Short Name,Administrative,Non-enumerated,PLCO,,up to 32 characters,,The acronym or abbreviated form of the title for a research data collection. Example – GLIOMA01,Study Administration Study Short Name Text,Standard,RELEASED,CRDC,"CIP,Pediatric Cancer"
11475057,2,Data File Checksum Type,File,Enumerated,SHA-1; SHA-256; SHA-512,,Optional - if you want to use a second checksum hash,,The method by which the file checksum was calculated.,Data File Checksum Type,Qualified,RELEASED,NCI Standards,"CRDC,Pediatric Cancer"
11479873,1,ICD-10-CM Disease Code,Diagnosis,Enumerated by Reference,C80.1 or C44.510 or D14.3- or D49.89,,,1. Go to https://www.cdc.gov/nchs/icd/icd-10-cm/files.html?CDC_AAref_Val=https://www.cdc.gov/nchs/icd/Comprehensive-Listing-of-ICD-10-CM-Files.htm 2. Scroll down to the appropriate recent release. 3. Download the appropriate file.,"An alphanumeric value from the tenth version of the International Classification of Disease (ICD-10-CM, the disease code subset of ICD-10) used to identify the diagnosis in humans.",Diagnosis Disease ICD-10-CM Code,Standard,RELEASED,CRDC,"CIP,GDC"
11479876,2,Data File Size,File,Non-enumerated,128; 20930,,Please use natural numbers; do not use abbreviations or units,,The measure (in bytes) of how much space a data file takes up on a storage medium.,Data File Size Integer,Qualified,RELEASED,NCI Standards,"CRDC,GDC,Pediatric Cancer"
11480133,2,Data File Checksum Value,File,Non-enumerated,,,,,A small-sized block of data derived from a file for the purpose of detecting errors that may have been introduced during file transmission and/or storage and used to verify data integrity.,Data File Checksum Value,Qualified,RELEASED,NCI Standards,"CRDC,Pediatric Cancer"
11524544,1,dbGaP Study Accession,Administrative,Non-enumerated,,,Format of a dbGaP study accession number: phs######.v#.p#,,A stable unique alphanumeric identifier assigned to a study and any objects by the database of Genotypes and Phenotypes (dbGaP).,Research Activity dbGaP Accession Number Identifier,Standard,RELEASED,CRDC,Pediatric Cancer
12083894,1,Specimen Anatomic Site UBERON Identifier,Specimen,Enumerated by Reference,UBERON:0002048,,,UBERON_#######,The identifier of the location within the body from which a specimen was originally obtained.,Specimen Original Anatomic Site Uberon Identifier,Standard,RELEASED,CRDC,"GDC,NCIP,Pediatric Cancer"
12137353,2,DICOM Modality Type,Imaging,Enumerated,,,Retired PVs are provided for historical data sets and should not be used in new data collections.,,"The specific manner, characteristic, pattern or function, method or process, or devices that created the data.",Imaging DICOM Modality Type,Standard,RELEASED,CRDC,"NCIP,Pediatric Cancer"
12373576,3,Experimental Strategy,Molecular,Enumerated,"WXS, RNA-Seq, Pathological, Radiological, scRNA-seq",,"If multiple strategies and data subtypes exist, please separate with semicolons.",,A method of gathering information or data through observation to test a hypothesis.,Research Activity Experimental Method Type,Standard,RELEASED,CRDC,"GDC,Pediatric Cancer"
12445832,1,Specimen Material Category,Specimen,Enumerated,,,,,The grouping which describes the kind of material that forms the sample.,Specimen Material Category,Standard,RELEASED,CRDC,"HTAN,Pediatric Cancer"
12447172,1,Last Known Disease Status,Diagnosis,Enumerated,,,,,The most recently documented condition or state of an subject's neoplasm.,Subject Last Known Disease Status,Standard,RELEASED,CRDC,"GDC,HTAN,Pediatric Cancer"
12461467,1,HGNC Gene Identifier,Molecular,Enumerated by Reference,HGNC:3756,,,1. Go to https://www.genenames.org 2. Use the search field to search for the official gene name,The unique numerical identifier for a particular gene assigned by the HGNC (HUGO Gene Nomenclature Committee - an organism specific nomenclature committee).,Gene Occurrence HGNC Identifier,Standard,RELEASED,CRDC,GDC
12922545,1,Tumor Classification,Specimen,Enumerated,,,,,A term that describes the kind of disease present in the tumor specimen.,Tumor Classification Category,Qualified,RELEASED,Pediatric Cancer,"CIP,CRDC,GDC,HTAN"
13381490,1,Disease Response Criteria System,Clinical Observation,Enumerated,,,,,The criteria system used for assessing disease response.,Disease Response System Criteria Type,Standard,RELEASED,Pediatric Cancer,CRDC
13383448,1,Disease Response,Clinical Observation,Enumerated,,,,,The pathologic and/or clinical changes in a subject that resulted from treatment.,Disease Response Assessment Outcome,Qualified,RELEASED,Pediatric Cancer,"CRDC,GDC"
13529783,2,Disease Progression or Recurrence Indicator,Diagnosis,Enumerated,,,,,An indication as to whether the subject is experiencing a worsening or a return of the disease.,Disease Progression or Recurrence Indicator,Standard,RELEASED,CRDC,GDC
14461856,1,Treatment Anatomic Site UBERON Identifier,Treatment,Enumerated by Reference,UBERON:0002048,,,1. Go to https://www.ebi.ac.uk/ols4/ontologies/uberon 2. Use the search field to search for your term. 3. Use the Copy button at the top of the search results to copy the Uberon ID.,The UBERON identifier of the organ or part of the body targeted by a therapeutic procedure.,Therapeutic Procedure Anatomic Site Uberon Identifier,Standard,RELEASED,CRDC,GDC
14688604,2,Specimen Tumor or Normal Category,Specimen,Enumerated,,,,,"A term that describes whether the site from which the tissue sample originated is from normal cells, the tumor, or an area surrounding the tumor.",Specimen Source Location Category,Standard,RELEASED,CRDC,"GDC,Pediatric Cancer"
14713318,1,Treatment or Therapy Indicator,Treatment,Enumerated,,,,,An indicator that describes whether therapy was administered.,Therapeutic Procedure Performed Indicator,Standard,RELEASED,CRDC,"GDC,Pediatric Cancer"
14737565,1,Treatment Type,Treatment,Enumerated,"Surgery; Radiation, Photon Beam",,,,"A text term that describes the kind of medical care given to the patient to mitigate or cure an illness, injury, or reduced health status.",Therapeutic Procedure Performed Type,Standard,RELEASED,NCI Standards,"CRDC,GDC,Pediatric Cancer"
14742451,1,Disease Progression or Recurrence Type,Diagnosis,Enumerated,,,,,A term describing the kind of worsening or return of disease that a subject is experiencing.,Disease Progression Or Recurrence Type,Standard,RELEASED,CRDC,GDC
14824731,2,Data Category,File,Enumerated,,,,,A broad classification of the contents of a data file generated from an experiment or a study.,Data File Content Category,Qualified,RELEASED,NCI Standards,"CRDC,GDC,Pediatric Cancer"
14857681,1,Method of Diagnosis,Diagnosis,Enumerated,,,,,The clinical or laboratory procedure(s) used in the determination of a disease diagnosis.,Disease Diagnostic Method Type,Standard,RELEASED,CRDC,GDC
